"GeositeInfo_DataOwner","GeositeInfo_Identifier","GeositeInfo_GeositeType","GeositeInfo_Latitude","GeositeInfo_Longitude","WaterStrike_ConstructionCompletionDate","WaterStrike_YieldMeasurementMethod","WaterStrike_WaterStrikeType","WaterStrike_SeepageValue","WaterStrike_DepthToTop","WaterStrike_DepthToBottom","WaterStrike_TotalBlowYieldValue","WaterStrike_ContributionValue"
"Dept Water - Pretoria","2525DB00050","Borehole","-25.55059","25.86578","",,"",,,,,
"Dept Water - Pretoria","2525DB00054","Borehole","-25.55059","25.86579","",,"",,,,,
"Dept Water - Pretoria","2525DB00055","Borehole","-25.55059","25.86580","",,"",,,,,
"Dept Water - Pretoria","2525DB00182","Borehole","-25.55059","25.98298","1988-06-06","Float Principle (Thalimedes)","Total Yield",,"60.00",,"1.2200",
"Dept Water - Pretoria","2525DB00306","Borehole","-25.55059","25.98299","1987-02-20",,"Individual Contribution","0.0001","32.00",,"0.0002",
"Dept Water - Pretoria","2525DB00306","Borehole","-25.55059","25.98299","1987-02-20",,"Individual Contribution","0.0001","78.00",,"0.0002",
"Dept Water - Pretoria","2525DB00307","Borehole","-25.55059","25.98299","",,"",,,,,
"Dept Water - Pretoria","2526CA00530","Borehole","-25.55043","26.02925","",,"",,,,,
"Dept Water - North West","2525DB00005","Borehole","-25.55038","25.92716","",,"",,,,,
"Dept Water - Pretoria","2525DA00112","Borehole","-25.55031","25.73262","",,"",,,,,
"Dept Water - Pretoria","2525DA00113","Borehole","-25.55031","25.73286","",,"",,,,,
"Dept Water - Pretoria","007098","Borehole","-25.54976","26.05078","1952-06-06",,"Total Yield",,"25.91",,"0.5700",
"Dept Water - Pretoria","2526CA00728","Borehole","-25.54921","26.05800","1992-01-06",,"Total Yield",,"36.00",,"4.0000",
"Dept Water - Pretoria","2525DB00025","Borehole","-25.54892","25.99353","",,"",,,,,
"Dept Water - Pretoria","2525DB00024","Borehole","-25.54836","25.99187","",,"",,,,,
"Dept Water - Pretoria","2526CA00366","Borehole","-25.54782","26.00078","",,"",,,,,
"Dept Water - Pretoria","2526CA00367","Borehole","-25.54782","26.00105","",,"",,,,,
"Dept Water - Pretoria","2526CA00382","Borehole","-25.54782","26.00244","",,"",,,,,
"Dept Water - Pretoria","2526CA00368","Borehole","-25.54698","26.00078","",,"",,,,,
"Dept Water - Pretoria","2526CA00383","Borehole","-25.54698","26.00161","",,"",,,,,
"Dept Water - Pretoria","2526CA00393","Borehole","-25.54698","26.00522","",,"",,,,,
"Dept Water - Pretoria","2525DA00103","Borehole","-25.54690","25.67715","",,"",,,,,
"Dept Water - Pretoria","2525DA00102","Borehole","-25.54690","25.67798","",,"",,,,,
"Dept Water - Pretoria","2526CA00540","Borehole","-25.54673","26.06934","",,"",,,,,
"Dept Water - Pretoria","2525DB00053","Borehole","-25.54670","25.87076","",,"",,,,,
"Dept Water - Pretoria","2526CA00534","Borehole","-25.54656","26.06703","",,"Total Seepage","0.0001","27.00",,,
"Dept Water - Pretoria","2526CA00536","Borehole","-25.54649","26.06771","",,"",,,,,
"Dept Water - Pretoria","2526CA00391","Borehole","-25.54643","26.00300","",,"",,,,,
"Dept Water - Pretoria","2525DB00029","Borehole","-25.54642","25.99187","",,"",,,,,
"Dept Water - Pretoria","2526CA00541","Borehole","-25.54633","26.06842","",,"",,,,,
"Dept Water - Pretoria","2526CA00535","Borehole","-25.54623","26.06724","",,"",,,,,
"Dept Water - Pretoria","2525DB00395","Spring","-25.54599","25.94045","",,"",,,,,
"Dept Water - Pretoria","2526CA00510","Borehole","-25.54576","26.05087","",,"",,,,,
"Dept Water - Pretoria","2526CA00508","Borehole","-25.54564","26.05165","",,"",,,,,
"Dept Water - Pretoria","2526CA00392","Borehole","-25.54560","26.00522","",,"",,,,,
"Dept Water - Pretoria","2526CA00537","Borehole","-25.54560","26.07104","",,"",,,,,
"Dept Water - Pretoria","2525DB00094","Borehole","-25.54559","25.93881","",,"",,,,,
"Dept Water - Pretoria","2526CA00512","Borehole","-25.54550","26.05570","",,"",,,,,
"Dept Water - Pretoria","2526CA00538","Borehole","-25.54549","26.07157","",,"",,,,,
"Dept Water - Pretoria","2526CA00513","Borehole","-25.54546","26.05634","",,"",,,,,
"Dept Water - Pretoria","2526CA00374","Borehole","-25.54504","26.01494","",,"",,,,,
"Dept Water - Pretoria","2525DB00086","Borehole","-25.54503","25.93798","",,"",,,,,
"Dept Water - Pretoria","2525DB00098","Borehole","-25.54503","25.96631","",,"",,,,,
"Dept Water - Pretoria","2526CA00539","Borehole","-25.54486","26.07185","",,"",,,,,
"Dept Water - Pretoria","2525DB00394","Spring","-25.54469","25.94525","",,"",,,,,
"Dept Water - Pretoria","2525DB00383","Borehole","-25.54461","25.87132","",,"",,,,,
"Dept Water - Pretoria","2526CA00509","Borehole","-25.54458","26.05159","",,"",,,,,
"Dept Water - Pretoria","2526CA00516","Borehole","-25.54430","26.04221","",,"",,,,,
"Dept Water - Pretoria","2526CA00574","Borehole","-25.54414","26.03269","",,"",,,,,
"Dept Water - Pretoria","2525DB00030","Borehole","-25.54392","25.98576","",,"",,,,,
"Dept Water - Pretoria","2526CA00517","Borehole","-25.54371","26.04202","1990-07-05",,"Total Yield",,"25.00",,"0.5000",
"Dept Water - Pretoria","2526CA00514","Borehole","-25.54359","26.04387","",,"",,,,,
"Dept Water - Pretoria","2526CA00515","Borehole","-25.54352","26.04439","",,"",,,,,
"Dept Water - Pretoria","2525DB00028","Borehole","-25.54336","25.99215","",,"",,,,,
"Dept Water - Pretoria","2525DB00027","Borehole","-25.54336","25.99826","",,"",,,,,
"Dept Water - Pretoria","2526CA00372","Borehole","-25.54282","26.00133","",,"",,,,,
"Dept Water - Pretoria","2526CA00373","Borehole","-25.54226","26.01994","",,"",,,,,
"Dept Water - Pretoria","2526CA00573","Borehole","-25.54211","26.02869","",,"",,,,,
"Dept Water - Pretoria","2525DA00097","Borehole","-25.54192","25.74889","1992-03-18","Estimated","Individual Contribution",,"66.00","71.00","0.8002","0.8"
"Dept Water - Pretoria","2525DA00097","Borehole","-25.54192","25.74889","1992-03-18","Estimated","Individual Contribution","0.0001","31.00",,"0.8002",
"Dept Water - Pretoria","2525DA00097","Borehole","-25.54192","25.74889","1992-03-18","Estimated","Individual Contribution","0.0001","36.00",,"0.8002",
"Dept Water - Pretoria","2526CA00394","Borehole","-25.54171","26.01911","",,"",,,,,
"Dept Water - Pretoria","007099","Borehole","-25.54171","26.05023","1952-07-01",,"Total Yield",,"21.64",,"0.2800",
"Dept Water - Pretoria","2525DB00096","Borehole","-25.54170","25.96076","",,"",,,,,
"Dept Water - Pretoria","2525DB00097","Borehole","-25.54170","25.97437","",,"",,,,,
"Dept Water - Pretoria","2526CA00388","Borehole","-25.54143","26.00661","",,"",,,,,
"Dept Water - Pretoria","2526CA00511","Borehole","-25.54127","26.05111","",,"",,,,,
"Dept Water - Pretoria","2525DB00374","Borehole","-25.54115","25.75771","",,"",,,,,
"Dept Water - Pretoria","2525DB00375","Borehole","-25.54115","25.77132","",,"",,,,,
"Dept Water - Pretoria","2526CA00390","Borehole","-25.54115","26.00494","",,"",,,,,
"Dept Water - Pretoria","2526CA00379","Borehole","-25.54115","26.00994","",,"",,,,,
"Dept Water - Pretoria","2526CA00378","Borehole","-25.54115","26.01078","",,"",,,,,
"Dept Water - Pretoria","2526CA00389","Borehole","-25.54087","26.00467","",,"",,,,,
"Dept Water - Pretoria","2526CA00324","Borehole","-25.53949","26.07745","1921-10-12",,"Total Yield",,"10.97",,"1.3100",
"Dept Water - Pretoria","2525DB00091","Borehole","-25.53947","25.93520","",,"",,,,,
"Dept Water - Pretoria","2525DB00093","Borehole","-25.53947","25.97187","",,"",,,,,
"Dept Water - Pretoria","2525DA00120","Borehole","-25.53838","25.74858","",,"",,,,,
"Dept Water - Pretoria","2525DA00119","Borehole","-25.53837","25.74857","",,"",,,,,
"Dept Water - Pretoria","2526CA00380","Borehole","-25.53810","26.00300","",,"",,,,,
"Dept Water - Pretoria","2525DB00167","Borehole","-25.53725","25.89409","",,"",,,,,
"Dept Water - North West","045368","Borehole","-25.53640","25.90232","",,"",,,,,
"Dept Water - Pretoria","2525DA00116","Borehole","-25.53615","25.71347","",,"",,,,,
"Dept Water - Pretoria","2525DA00115","Borehole","-25.53615","25.71497","",,"",,,,,
"Dept Water - Pretoria","2526CA00371","Borehole","-25.53532","26.01744","",,"",,,,,
"Dept Water - Pretoria","2526CA00744","Borehole","-25.53532","26.01912","",,"",,,,,
"Dept Water - Pretoria","2525DA00118","Borehole","-25.53531","25.69174","",,"",,,,,
"Dept Water - Pretoria","2525DB00095","Borehole","-25.53531","25.95242","",,"",,,,,
"Dept Water - Pretoria","2525DB00090","Borehole","-25.53503","25.92742","",,"",,,,,
"Dept Water - North West","045803","Borehole","-25.53423","25.90307","",,"",,,,,
"Dept Water - Pretoria","2526CA00325","Borehole","-25.53399","26.08300","1957-07-26",,"Total Yield",,"27.43",,"0.1600",
