"GeositeInfo_DataOwner","GeositeInfo_Identifier","GeositeInfo_GeositeType","GeositeInfo_Latitude","GeositeInfo_Longitude","OtherNumber_OtherNumberType","OtherNumber_OtherNumber"
"Dept Water - Pretoria","2525DA00050","Borehole","-25.55066","25.71639","Boring Branch Number","085563"
"Dept Water - Pretoria","2525DA00050","Borehole","-25.55066","25.71639","NGDB-Number","2525DA00050"
"Dept Water - Pretoria","2525DB00282","Borehole","-25.55066","25.76638","Boring Branch Number","025074"
"Dept Water - Pretoria","2525DB00282","Borehole","-25.55066","25.76638","NGDB-Number","2525DB00282"
"Dept Water - Pretoria","2525DB00283","Borehole","-25.55066","25.76639","Boring Branch Number","025271"
"Dept Water - Pretoria","2525DB00283","Borehole","-25.55066","25.76639","NGDB-Number","2525DB00283"
"Dept Water - Pretoria","2525DA00047","Borehole","-25.55065","25.71637","Boring Branch Number","066977"
"Dept Water - Pretoria","2525DA00047","Borehole","-25.55065","25.71637","NGDB-Number","2525DA00047"
"Dept Water - Pretoria","2525DA00048","Borehole","-25.55065","25.71638","Boring Branch Number","082978"
"Dept Water - Pretoria","2525DA00048","Borehole","-25.55065","25.71638","NGDB-Number","2525DA00048"
"Dept Water - Pretoria","2525DB00280","Borehole","-25.55065","25.76637","Boring Branch Number","024913"
"Dept Water - Pretoria","2525DB00280","Borehole","-25.55065","25.76637","NGDB-Number","2525DB00280"
"Dept Water - Pretoria","2525DB00281","Borehole","-25.55065","25.76638","Boring Branch Number","025014"
"Dept Water - Pretoria","2525DB00281","Borehole","-25.55065","25.76638","NGDB-Number","2525DB00281"
"Dept Water - Pretoria","2525DA00045","Borehole","-25.55064","25.71636","Boring Branch Number","066183"
"Dept Water - Pretoria","2525DA00045","Borehole","-25.55064","25.71636","NGDB-Number","2525DA00045"
"Dept Water - Pretoria","2525DA00046","Borehole","-25.55064","25.71637","Boring Branch Number","066614"
"Dept Water - Pretoria","2525DA00046","Borehole","-25.55064","25.71637","NGDB-Number","2525DA00046"
"Dept Water - Pretoria","2525DB00278","Borehole","-25.55064","25.76636","Boring Branch Number","024873"
"Dept Water - Pretoria","2525DB00278","Borehole","-25.55064","25.76636","NGDB-Number","2525DB00278"
"Dept Water - Pretoria","2525DB00279","Borehole","-25.55064","25.76637","Boring Branch Number","024915"
"Dept Water - Pretoria","2525DB00279","Borehole","-25.55064","25.76637","NGDB-Number","2525DB00279"
"Dept Water - Pretoria","2525DA00043","Borehole","-25.55063","25.71635","Boring Branch Number","025312"
