"GeositeInfo_DataOwner","GeositeInfo_Identifier","GeositeInfo_GeositeType","GeositeInfo_Latitude","GeositeInfo_Longitude","DepthDiameter_MeasurementDate","DepthDiameter_DepthToBottom","DepthDiameter_DepthQualifier","DepthDiameter_Diameter"
"Dept Water - Pretoria","2526CA00536","Borehole","-25.54649","26.06771","1900-01-01","27.40","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2526CA00391","Borehole","-25.54643","26.00300","1900-01-01","21.24","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2525DB00029","Borehole","-25.54642","25.99187","1960-01-01","43.50","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2526CA00541","Borehole","-25.54633","26.06842","1900-01-01","27.00","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2526CA00535","Borehole","-25.54623","26.06724","1900-01-01","27.40","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2525DB00395","Spring","-25.54599","25.94045","",,,""
"Dept Water - Pretoria","2526CA00510","Borehole","-25.54576","26.05087","1990-07-05","9999.99","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2526CA00508","Borehole","-25.54564","26.05165","1990-07-05","9999.99","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2526CA00392","Borehole","-25.54560","26.00522","1986-01-01","36.60","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2526CA00537","Borehole","-25.54560","26.07104","1900-01-01","27.70","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2525DB00094","Borehole","-25.54559","25.93881","1900-01-01","21.33","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2526CA00512","Borehole","-25.54550","26.05570","1990-07-05","10.75","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2526CA00538","Borehole","-25.54549","26.07157","1900-01-01","27.40","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2526CA00513","Borehole","-25.54546","26.05634","1990-07-05","11.50","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2526CA00374","Borehole","-25.54504","26.01494","",,,""
"Dept Water - Pretoria","2525DB00086","Borehole","-25.54503","25.93798","",,,""
"Dept Water - Pretoria","2525DB00098","Borehole","-25.54503","25.96631","1987-01-01","138.00","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2526CA00539","Borehole","-25.54486","26.07185","1900-01-01","27.40","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2525DB00394","Spring","-25.54469","25.94525","",,,""
"Dept Water - Pretoria","2525DB00383","Borehole","-25.54461","25.87132","1993-10-01","20.99","Measured during Construction","451 mm (18.0")"
